,Categoría,ID/Nombre,Detalle,Criticidad
0,MITRE ATT&CK,T1064,Executes commands using a shell command-line interpreter,IMPACT_SEVERITY_INFO
1,MITRE ATT&CK,T1543.002,"Executes the ""systemctl"" command used for controlling the systemd system and service manager",IMPACT_SEVERITY_INFO
2,MITRE ATT&CK,T1036,Sample and/or dropped files symbols with suspicious names,IMPACT_SEVERITY_INFO
3,MITRE ATT&CK,T1518.001,"Uses the ""uname"" system call to query kernel version information (possible evasion)",IMPACT_SEVERITY_INFO
4,Firma Detectada,map or unmap memory on Linux,host-interaction/memory,ALTA
5,Firma Detectada,write file on Linux,host-interaction/file-system/write,ALTA
6,Firma Detectada,get file attributes,host-interaction/file-system/meta,ALTA
7,Firma Detectada,get current PID on Linux,host-interaction/process,ALTA
8,Firma Detectada,create process on Linux,host-interaction/process/create,ALTA
9,Firma Detectada,read file on Linux,host-interaction/file-system/read,ALTA
10,Firma Detectada,create thread,host-interaction/thread/create,ALTA
11,Firma Detectada,terminate process via kill,host-interaction/process/terminate,ALTA
12,Firma Detectada,check file permission on Linux,host-interaction/file-system,ALTA
13,Firma Detectada,reads_files,Reads files from disk,ALTA
14,Firma Detectada,drops_files,Drops files onto disk,ALTA
15,Firma Detectada,writes_files,Writes to files on disk,ALTA
16,Firma Detectada,,Malicious sample detected (through community Yara rule),ALTA
17,Firma Detectada,,"Uses the ""uname"" system call to query kernel version information (possible evasion)",ALTA
18,Firma Detectada,,Executes commands using a shell command-line interpreter,ALTA
19,Firma Detectada,,"Executes the ""systemctl"" command used for controlling the systemd system and service manager",ALTA
20,Firma Detectada,,Yara signature match,ALTA
21,Firma Detectada,,Sample and/or dropped files contains symbols with suspicious names,ALTA
22,Firma Detectada,,Classification label,ALTA
23,Archivo Escrito,N/A,/dev/tty,INFORMATIVA
24,Archivo Escrito,N/A,/dev/ptmx,INFORMATIVA
25,Archivo Escrito,N/A,/dev/pts/0,INFORMATIVA
26,Archivo Escrito,N/A,/tmp/passwd.bak,INFORMATIVA
27,Archivo Escrito,N/A,/var/log/auth.log.1.gz,INFORMATIVA
28,Archivo Escrito,N/A,/var/log/kern.log.1.gz,INFORMATIVA
29,Archivo Creado,N/A,"{'path': '/tmp/passwd.bak', 'sha256': '60576324ad112169318382032b514e813d569ba664e298c7079dcf543a18f52c', 'type': 'TEXT', 'process_name': '/tmp/sample', 'process_id': '4984'}",INFORMATIVA
30,Archivo Creado,N/A,"{'path': '/var/log/auth.log.1.gz', 'sha256': '44a3bab2c338e3bca24c00f7c3da1301eb4a5a889f1c667cc781e1bdacd3b9e7', 'type': 'GZIP', 'process_name': '/bin/gzip', 'process_id': '4950'}",INFORMATIVA
31,Tag VT,N/A,DETECT_DEBUG_ENVIRONMENT,INFORMATIVA
